Wall time,Step,Value
1773873152.3065634,586,1804.0
1773873445.185075,589,2282.0
1773873546.278444,590,2306.0
1773873786.9636774,592,2497.0
1773873979.1061459,594,2113.0
1773874294.0320208,597,2224.0
1773874385.3517408,598,1980.0
1773874612.7687879,600,2626.0
1773874845.9678807,602,2766.0
1773875166.3960824,605,2411.0
1773875724.3997905,610,2177.0
1773875821.927715,611,2173.0
1773876087.7384174,614,2167.0
1773876350.9192965,617,2298.0
1773876646.499435,620,2294.0
1773876752.0585573,621,2518.0
1773877041.4439197,624,2347.0
1773877371.1383944,627,2838.0
1773877472.0767865,628,2105.0
1773877577.5200617,629,2260.0
1773878204.606837,634,3124.0
1773878476.5899038,636,2774.0
1773878754.4453237,638,3593.0
1773879125.2017183,641,2299.0
1773879253.3505614,642,2851.0
1773879381.8705482,643,2916.0
1773879669.8276732,645,2803.0
1773879762.5661533,646,1991.0
1773880185.1483607,650,2061.0
1773880535.1793928,653,3230.0
1773880651.3506432,654,2611.0
1773880752.2120862,655,2225.0
1773881239.0279267,659,3025.0
1773881358.8802555,660,2752.0
1773883537.1768608,661,2785.0
1773884544.021768,668,3547.0
1773885264.047888,673,3086.0
1773886345.9804926,681,2770.0
1773886572.7154887,683,3162.0
1773886657.0334322,684,1822.0
1773886839.2044094,686,2145.0
1773887231.8669767,693,886.0
1773887311.6760683,695,948.0
1773887359.7145002,696,1103.0
1773887409.0900307,697,1041.0
1773887590.9567292,701,1221.0
1773887707.5125124,703,1435.0
1773888090.2863941,709,1680.0
1773888214.7421308,711,1477.0
1773888404.9218192,714,1293.0
1773888759.4913378,718,1960.0
1773888942.7223566,720,1896.0
1773889038.3409672,721,2080.0
1773889165.976735,722,2746.0
1773889448.0817213,725,2435.0
1773889659.2848651,727,2207.0
1773889743.6713846,728,1940.0
1773889815.8542333,729,1582.0
1773889975.3175876,731,1693.0
1773890053.1528943,732,1754.0
1773890154.8518484,733,2145.0
1773890692.7064605,740,919.0
1773890889.8466032,743,1409.0
1773891998.4365127,754,2032.0
1773892239.4232326,756,2808.0
1773892538.218822,759,2254.0
1773893095.1051564,765,2326.0
1773893286.9888604,767,2269.0
1773893391.602878,768,2361.0
1773893722.1359477,771,2220.0
1773893935.4027934,773,2140.0
1773894042.8023138,774,2385.0
1773894211.2995672,776,1585.0
1773894404.6302795,778,2004.0
1773894547.168386,779,3058.0
1773894664.069894,780,2440.0
1773894987.7111344,783,2133.0
1773895527.2591984,788,2340.0
1773896388.9631817,796,2596.0
1773896851.088481,800,2908.0
1773896948.1968734,801,2144.0
1773897317.4292848,805,2038.0
1773897416.7449846,806,2106.0
1773897774.3355317,809,2858.0
1773897977.8401086,811,2378.0
1773898942.9943647,819,2428.0
1773899788.6669006,826,2408.0
1773899907.7728665,827,2604.0
1773900036.682199,828,2801.0
1773900419.2798932,831,2884.0
1773900736.0719588,833,3195.0
1773901078.7511806,836,2224.0
1773901216.1255083,837,2971.0
1773901629.822419,840,3158.0
1773901779.1731021,841,3321.0
1773902065.2925422,843,2600.0
1773902695.8166363,848,2606.0
1773903138.6233354,851,3211.0
1773903285.1066601,852,3278.0
1773904256.0290444,859,2572.0
1773904507.479403,861,2904.0
1773904641.9650886,862,3057.0
1773904760.0660224,863,2760.0
1773905073.3343215,866,2371.0
1773905613.3080435,870,3426.0
1773907344.7716148,883,3191.0
1773907605.058711,885,2473.0
1773907756.6289723,886,3490.0
1773907884.9476418,887,2692.0
1773908131.846617,890,1601.0
1773908167.271491,891,764.0
1773908374.0473835,893,2850.0
1773908770.1654966,896,3163.0
1773909205.7736132,899,2942.0
1773909571.4212575,902,2124.0
1773909972.6987257,905,3054.0
1773910232.845066,907,3358.0
1773910373.0224226,908,3100.0
1773910712.6536226,911,1713.0
1773910974.5224922,914,2486.0
1773911095.242743,915,2685.0
1773911481.7722676,918,2910.0
1773911838.8037705,921,2807.0
1773912746.5546343,927,3181.0
1773913102.3453836,930,2838.0
1773913384.1441317,932,3124.0
1773913532.3505487,933,3337.0
1773913683.2892053,934,3451.0
1773913971.385621,936,3335.0
1773914530.2327862,941,1541.0
1773914735.777134,944,1350.0
1773915161.7387385,950,1344.0
1773915327.369364,953,1137.0
1773915788.50827,960,1284.0
