Wall time,Step,Value
1775444655.292106,3574,21.0
1775444710.481807,3575,18.0
1775444765.550299,3576,21.0
1775444815.8911865,3577,21.0
1775444881.6005008,3578,21.0
1775444943.4939985,3579,21.0
1775444996.623025,3580,20.0
1775445042.3041577,3581,13.0
1775445089.9479325,3582,21.0
1775445115.9362192,3583,4.0
1775445167.131511,3584,14.0
1775445216.2838833,3585,15.0
1775445272.7537572,3586,21.0
1775445324.882108,3587,21.0
1775445357.386484,3588,21.0
1775445407.1271276,3589,21.0
1775445446.694461,3590,21.0
1775445499.6359718,3591,21.0
1775445553.1473672,3592,21.0
1775445609.6605675,3593,21.0
1775445667.7539384,3594,21.0
1775445700.95051,3595,21.0
1775445757.7198205,3596,21.0
1775445803.8831959,3597,21.0
1775445861.2950702,3598,21.0
1775445902.7429087,3599,21.0
1775445940.5270758,3600,21.0
1775445999.67042,3601,15.0
1775446046.1058745,3602,21.0
1775446107.7716784,3603,20.0
1775446171.953113,3604,21.0
1775446219.510418,3605,21.0
1775446268.179261,3606,21.0
1775446302.0461335,3607,21.0
1775446355.8130386,3608,21.0
1775446417.311923,3609,21.0
1775446461.6057541,3610,21.0
1775446511.8060355,3611,21.0
1775446584.1438808,3612,21.0
1775446639.8649626,3613,14.0
1775446697.9746993,3614,18.0
1775446758.2988684,3615,21.0
1775446805.1685805,3616,21.0
1775446842.8700438,3617,12.0
1775446903.8578367,3618,21.0
1775446962.2911596,3619,21.0
1775447021.292218,3620,21.0
1775447081.2868662,3621,20.0
1775447129.843823,3622,17.0
1775447180.1053405,3623,21.0
1775447235.1377904,3624,21.0
1775447287.9918988,3625,21.0
1775447338.0581949,3626,21.0
1775447397.5641453,3627,20.0
1775447440.992383,3628,21.0
1775447487.8461647,3629,21.0
1775447537.3770773,3630,14.0
1775447581.9007907,3631,16.0
1775447624.9023857,3632,21.0
1775447678.1671965,3633,20.0
1775447736.2022493,3634,19.0
1775447789.696699,3635,18.0
1775447830.6139884,3636,21.0
1775447894.7020648,3637,20.0
1775447935.3852754,3638,21.0
1775447988.3521774,3639,21.0
1775448030.8279967,3640,21.0
1775448070.9214067,3641,21.0
1775448116.8379202,3642,21.0
1775448178.258511,3643,21.0
1775448224.5712402,3644,21.0
1775448274.7598763,3645,21.0
1775448322.9530883,3646,21.0
1775448373.1699903,3647,21.0
1775448412.8316333,3648,21.0
1775448474.6921747,3649,21.0
1775448542.8231997,3650,21.0
1775448602.4010744,3651,17.0
